,Year,Rank,Game,Overall Prize,Players,Tournaments
0,2019,1,Fortnite,8592910.0,1353,136
1,2019,2,Dota 2,6474681.34,460,47
2,2019,3,Counter-Strike: Global Offensive,6272244.42,1877,226
3,2019,4,League of Legends,3645326.32,1006,62
4,2019,5,Overwatch,2922423.1,708,22
5,2019,6,Rainbow Six Siege,2147183.6,210,12
6,2019,7,PLAYERUNKNOWN’S BATTLEGROUNDS,2085330.45,355,14
7,2019,8,Hearthstone,1768000.0,189,12
8,2019,9,Apex Legends,1237340.16,453,46
9,2019,10,StarCraft II,1216505.07,227,112
10,2019,11,Call of Duty: Black Ops 4,1074807.0,253,28
11,2019,12,Magic: The Gathering Arena,1059000.0,104,9
12,2019,13,FIFA 19,836360.0,123,10
13,2019,14,Rocket League,697990.99,127,15
14,2019,15,Arena of Valor,539360.0,40,2
15,2019,16,Gears of War 4,500000.0,15,2
16,2019,17,Super Smash Bros. Ultimate,319843.72,513,165
17,2019,18,Magic: The Gathering Online,200000.0,24,1
18,2019,19,Tekken 7,177364.54,46,12
19,2019,20,Brawlhalla,140737.5,173,71
20,2019,21,World of WarCraft,120000.0,38,3
21,2019,22,Madden NFL 19,100000.0,5,2
22,2019,23,StarCraft: Brood War,80934.72,37,5
23,2019,24,Age of Empires II: The Age of Kings,79151.45,78,55
24,2019,25,Street Fighter V: Arcade Edition,77635.07,48,10
25,2019,26,Heroes of the Storm,71370.24,40,5
26,2019,27,Artifact,65362.64,179,86
27,2019,28,Guns of Boom,54800.0,4,6
28,2019,29,WarCraft III,41451.6,30,7
29,2019,30,Super Smash Bros. Melee,32402.0,71,18
30,2019,31,Dragon Ball FighterZ,31346.91,24,7
31,2019,32,TrackMania 2: Stadium,29412.88,45,30
32,2019,33,Mortal Kombat 11,28500.86,16,1
33,2019,34,rFactor 2,25752.15,72,7
34,2019,35,Gwent,25000.0,8,1
35,2019,36,NHL 19,19700.0,6,6
36,2019,37,Guilty Gear Xrd REV 2,16432.0,28,7
37,2019,38,Soul Calibur VI,16266.81,31,8
38,2019,39,King of Fighters XIV,14810.21,14,3
39,2019,40,CrossFire,14132.75,57,5
40,2019,41,BlazBlue: Cross Tag Battle,12504.44,29,6
41,2019,42,Team Fortress 2,11244.06,17,1
42,2019,43,Forza Motorsport 7,8500.0,3,3
43,2019,44,RaceRoom Racing Experience,8400.0,37,2
44,2019,45,Pokkén Tournament DX,6762.6,17,4
45,2019,46,Under Night In-Birth EXE: Late[st],4510.0,16,2
46,2019,47,iRacing.com,4451.94,101,5
47,2019,48,Age of Empires,4400.0,8,2
48,2019,49,Black Squad,4009.47,20,2
49,2019,50,BlazBlue: Central Fiction,3685.44,15,3
50,2019,51,Clash Royale,2130.0,1,1
51,2019,52,Age of Empires III,1475.0,19,12
52,2019,53,Marvel vs. Capcom: Infinite,960.0,8,3
53,2019,54,Super Street Fighter II Turbo,890.0,6,2
54,2019,55,Dead or Alive 6,870.0,3,1
55,2019,56,Street Fighter III: 3rd Strike,790.0,8,1
56,2019,57,ARMS,782.85,20,8
57,2019,58,Injustice 2,760.0,9,3
58,2019,59,Vampire Savior,710.0,3,1
59,2019,60,Skullgirls 2nd Encore,660.0,3,1
60,2019,61,Lethal League Blaze,609.76,9,3
61,2019,62,Ultimate Marvel vs. Capcom 3,490.0,3,1
62,2019,63,Mortal Kombat X,480.0,3,1
63,2019,64,Killer Instinct (2013),460.0,5,2
64,2019,65,Assetto Corsa,448.0,1,1
65,2019,66,Guilty Gear XX Accent Core Plus R,440.0,3,1
66,2019,67,Super Smash Bros.,432.2,9,2
67,2019,68,Sailor Moon S,420.0,3,1
68,2019,69,Melty Blood: Actress Again Current Code,350.0,1,1
69,2019,70,Tatsunoko vs. Capcom: Ultimate All-Stars,290.0,3,1
70,2019,71,Super Smash Bros. Brawl,289.62,6,1
71,2019,72,Project M,276.85,10,4
72,2019,73,Fighting EX Layer,220.0,3,1
73,2019,74,Street Fighter Alpha 2,130.0,3,1
74,2019,75,Mario Tennis Aces,51.3,3,1
75,2019,76,Hand of the Gods,34.2,1,1
76,2018,1,Dota 2,41420078.99,1118,167
77,2018,2,Counter-Strike: Global Offensive,22657892.39,4548,828
78,2018,3,Fortnite,20055832.14,1442,174
79,2018,4,League of Legends,14512216.23,1799,178
80,2018,5,PLAYERUNKNOWN’S BATTLEGROUNDS,7572167.16,1473,107
81,2018,6,Overwatch,6590091.65,1452,95
82,2018,7,Heroes of the Storm,5277279.76,368,34
83,2018,8,Hearthstone,4711852.27,828,131
84,2018,9,Call of Duty: World War II,4276751.83,220,38
85,2018,10,StarCraft II,4013357.65,364,434
86,2018,11,Arena of Valor,3324141.25,210,18
87,2018,12,Rocket League,2297363.32,287,74
88,2018,13,FIFA 18,2178215.26,223,35
89,2018,14,Rainbow Six Siege,1884653.23,401,44
90,2018,15,Halo 5: Guardians,1873750.0,96,18
91,2018,16,Shadowverse,1310000.0,24,1
92,2018,17,SMITE,1183500.0,143,11
93,2018,18,Street Fighter V: Arcade Edition,1149508.83,128,45
94,2018,19,CrossFire,1074640.06,151,26
95,2018,20,Gears of War 4,1022000.0,93,7
96,2018,21,NBA 2K18,1000000.0,91,4
97,2018,22,World of WarCraft,740000.0,124,27
98,2018,23,Quake Champions,640710.4,117,130
99,2018,24,Call of Duty: Black Ops 4,640563.0,151,41
100,2018,25,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,615211.0,90,6
101,2018,26,Paladins,559000.0,94,6
102,2018,27,FIFA 19,549019.7,122,13
103,2018,28,StarCraft: Brood War,434390.36,83,31
104,2018,29,Super Smash Bros. Melee,355510.89,260,95
105,2018,30,Gwent,341568.19,51,14
106,2018,31,Tekken 7,304205.36,80,37
107,2018,32,Brawlhalla,297604.7,193,97
108,2018,33,Realm Royale,263000.0,47,9
109,2018,34,Madden NFL 2018,259000.0,32,1
110,2018,35,Super Smash Bros. for Wii U,245789.22,290,114
111,2018,36,Clash Royale,239534.49,59,11
112,2018,37,FIFA Online 4,239000.0,36,1
113,2018,38,FIFA Online 3,237112.5,36,1
114,2018,39,F1 2018,200000.0,21,1
115,2018,40,Magic: The Gathering Online,200000.0,23,1
116,2018,41,WarCraft III,178267.52,80,114
117,2018,42,Injustice 2,158303.76,28,8
118,2018,43,iRacing.com,143340.3,191,18
119,2018,44,Guns of Boom,133950.0,4,14
120,2018,45,Dragon Ball FighterZ,114701.49,50,17
121,2018,46,Warface,109555.0,32,2
122,2018,47,NHL 18,102700.0,20,6
123,2018,48,Creative Destruction,100000.0,8,1
124,2018,49,Zula,100000.0,10,1
125,2018,50,Point Blank,99000.0,10,1
126,2018,51,Pokémon VGC,98500.0,112,15
127,2018,52,Battalion 1944,78576.62,48,7
128,2018,53,H1Z1,75000.0,20,1
129,2018,54,Team Fortress 2,72633.59,90,10
130,2018,55,Super Smash Bros. Ultimate,66282.62,197,40
131,2018,56,Heroes of Newerth,64039.12,0,1
132,2018,57,Age of Empires II: The Age of Kings,61192.13,77,49
133,2018,58,Hand of the Gods,50000.0,13,1
134,2018,59,Artifact,48541.35,90,27
135,2018,60,Age of Empires,41426.72,84,21
136,2018,61,Yu-Gi-Oh! Duel Links,35372.28,234,133
137,2018,62,World of Tanks Blitz,33330.0,0,5
138,2018,63,Battlerite,28750.0,29,2
139,2018,64,RaceRoom Racing Experience,27768.7,91,5
140,2018,65,Madden NFL 19,25000.0,1,1
141,2018,66,TrackMania 2: Stadium,24499.4,64,28
142,2018,67,Forza Motorsport 7,18000.0,1,3
143,2018,68,Killer Instinct (2013),17390.0,13,3
144,2018,69,Guilty Gear Xrd REV 2,15348.0,27,6
145,2018,70,Assetto Corsa,15000.0,8,1
146,2018,71,ARMS,13297.14,71,56
147,2018,72,BlazBlue: Cross Tag Battle,12810.0,11,2
148,2018,73,Project M,10783.06,67,18
149,2018,74,Battlefield 4,10275.45,38,2
150,2018,75,Super Smash Bros.,10173.17,55,13
151,2018,76,Magic: The Gathering Arena,10000.0,16,1
152,2018,77,Soul Calibur VI,8980.0,12,4
153,2018,78,King of Fighters XIV,8000.0,10,2
154,2018,79,BlazBlue: Central Fiction,7790.0,11,2
155,2018,80,Splatoon 2,5360.0,0,3
156,2018,81,Minecraft,4839.15,10,3
157,2018,82,Black Squad,4470.41,52,15
158,2018,83,osu!,4320.0,255,1
159,2018,84,Marvel vs. Capcom: Infinite,4130.0,19,3
160,2018,85,Mortal Kombat XL,3810.0,8,1
161,2018,86,Age of Empires III,3800.0,20,14
162,2018,87,Mortal Kombat 9,3260.0,8,1
163,2018,88,Super Smash Bros. Brawl,2590.0,14,4
164,2018,89,Critical Ops,2500.0,0,1
165,2018,90,NHL 19,2500.0,1,1
166,2018,91,Skullgirls 2nd Encore,2231.0,8,2
167,2018,92,Pokkén Tournament DX,2101.4,11,5
168,2018,93,Sailor Moon S,1163.0,6,3
169,2018,94,QuakeWorld,1042.22,9,3
170,2018,95,Age of Empires Online,1000.0,6,2
171,2018,96,Quake Live,500.0,2,1
172,2018,97,Super Street Fighter II Turbo,500.0,8,1
173,2018,98,Quake II,379.5,2,1
